epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_precision,val_sensitivity,val_specificity
0,0.9641510248184204,0.3337956666946411,0.4610457420349121,0.02597861923277378,0.03978017717599869,0.13765619695186615,0.9669126868247986,0.9618023037910461,0.9890419244766235,0.9760437607765198,0.36683812737464905,0.6896547079086304,0.07004167884588242,0.08568935096263885,0.10793565213680267,0.9811995029449463,0.9713940620422363,0.9938037395477295
1,0.9699621796607971,0.3420276939868927,0.48712393641471863,0.02745908685028553,0.05062105879187584,0.12423313409090042,0.9730384945869446,0.9668416380882263,0.9910646677017212,0.9760253429412842,0.3948725759983063,0.784281849861145,0.015256371349096298,0.06540308892726898,0.09214546531438828,0.9788733720779419,0.9737482666969299,0.9929991364479065
2,0.9693586230278015,0.3446371555328369,0.5266744494438171,0.02620749920606613,0.05242187902331352,0.12015113234519958,0.9724676609039307,0.9665558338165283,0.990872323513031,0.9755713939666748,0.39496910572052,0.6923447847366333,0.038120076060295105,0.0650310292840004,0.08979523181915283,0.9781718850135803,0.9737639427185059,0.9927617311477661
3,0.9702751636505127,0.35077813267707825,0.49881571531295776,0.036266278475522995,0.05290410667657852,0.11383073776960373,0.972630500793457,0.968545138835907,0.9909129738807678,0.9761703014373779,0.40149447321891785,0.8742726445198059,0.043277446180582047,0.08122695237398148,0.08740382641553879,0.9800941348075867,0.9734591841697693,0.9934154748916626
4,0.9713439345359802,0.3698355555534363,0.6359884738922119,0.04522184655070305,0.05916578695178032,0.11162427067756653,0.9754587411880493,0.9675533771514893,0.9918794631958008,0.9764840602874756,0.4114033281803131,0.8667494058609009,0.05126864090561867,0.08634424954652786,0.08211448043584824,0.9810998439788818,0.9733982086181641,0.9937565326690674
5,0.9706265926361084,0.36606186628341675,0.5341741442680359,0.04722875356674194,0.056205615401268005,0.1030469611287117,0.9736303091049194,0.9684552550315857,0.9912532567977905,0.9767892360687256,0.41683274507522583,0.8397812843322754,0.08117952942848206,0.09443248808383942,0.08180586248636246,0.9826558232307434,0.9729032516479492,0.9942837953567505
6,0.9721052050590515,0.39213934540748596,0.6434593200683594,0.08153392374515533,0.07587879151105881,0.09465216845273972,0.9778730273246765,0.9678386449813843,0.9926906824111938,0.9754940867424011,0.4235917925834656,0.9640291929244995,0.07077416777610779,0.08941462635993958,0.0802856832742691,0.9808925986289978,0.9717774391174316,0.9936959147453308
7,0.9715955853462219,0.3904247581958771,0.6174221634864807,0.07436440140008926,0.06689401715993881,0.09290206432342529,0.9762468934059143,0.9679197072982788,0.9921384453773499,0.9760014414787292,0.4120935797691345,0.9250838756561279,0.12184327840805054,0.11929666996002197,0.09122927486896515,0.9873700141906738,0.9631094336509705,0.995900571346283
8,0.9727393984794617,0.40997740626335144,0.6862066984176636,0.11063484847545624,0.08829308301210403,0.08593744039535522,0.9804723262786865,0.9673548340797424,0.9935759902000427,0.975634753704071,0.4282222390174866,1.0011252164840698,0.06992965936660767,0.08285169303417206,0.07868043333292007,0.9811108112335205,0.9720264673233032,0.993768036365509
9,0.9722013473510742,0.39820393919944763,0.6344778537750244,0.08453472703695297,0.06983186304569244,0.08797404170036316,0.9776390194892883,0.9680200219154358,0.9926029443740845,0.9777244329452515,0.4154358208179474,0.8623238801956177,0.12819477915763855,0.11730529367923737,0.0857878103852272,0.988765299320221,0.9646440148353577,0.9963523149490356
